Track,Artist,Genre song,Genre artist,Total Genre
Babe,Styx,#N/A,rock,rock
The Rose,Bette Midler,Soft rock,#N/A,soft rock
Cars,Gary Numan,#N/A,pop,pop
Magic,Olivia Newton-John,pop,pop,pop
We Don’t Talk Anymore,Cliff Richard,#N/A,pop,pop
Desire,Andy Gibb,#N/A,pop,pop
Real Love,Doobie Brothers,pop,#N/A,pop
Rock With You,Michael Jackson,#N/A,pop,pop
Sara,Fleetwood Mac,#N/A,rock,rock
Upside Down,Diana Ross,#N/A,rock,rock
Escape (THE Piña Colada Song),Rupert Holmes,Pop rock,#N/A,pop rock
Him,Rupert Holmes,Soft rock,#N/A,soft rock
Lady,Kenny Rogers,#N/A,country,country
It’s Still Rock And Roll To Me,Billy Joel,#N/A,rock,rock
On The Radio,Donna Summer,country,pop,country
Still,Commodores,#N/A,rock,rock
Another One Bites The Dust,Queen,#N/A,rock,rock
Longer,Dan Fogelberg,#N/A,country,country
Please Don’t Go,KC and the Sunshine Band,Pop,#N/A,pop
All Out Of Love,Air Supply,#N/A,rock,rock
Call Me,Blondie,pop,pop,pop
Crazy Little Thing Called Love,Queen,#N/A,rock,rock
Daydream Believer,Anne Murray,#N/A,pop,pop
Cruisin’,Smokey Robinson,Smooth R&B,#N/A,smooth r&b
Dreaming,Cliff Richard,#N/A,pop,pop
More Love,Kim Carnes,Pop,#N/A,pop
This Is It,Kenny Loggins,#N/A,pop,pop
Woman In Love,Barbra Streisand,#N/A,rock,rock
Fire Lake,Bob Seger and the Silver Bullet Band,Folk rock,#N/A,folk rock
Sailing,Christopher Cross,#N/A,pop,pop
Against The Wind,Bob Seger and the Silver Bullet Band,Heartland rock,#N/A,heartland rock
Biggest Part Of Me,Ambrosia,#N/A,pop,pop
Do That To Me One More Time,Captain & Tennille,#N/A,pop,pop
I Can’t Tell You Why,Eagles,#N/A,rock,rock
Ride Like The Wind,Christopher Cross,#N/A,pop,pop
Coward Of The County,Kenny Rogers,#N/A,country,country
How Do I Make You,Linda Ronstadt,#N/A,country,country
Jane,Jefferson Starship,#N/A,country,country
Off The Wall,Michael Jackson,#N/A,pop,pop
Shining Star,The Manhattans,R&B,#N/A,r&b
The Wanderer,Donna Summer,#N/A,pop,pop
Don’t Do Me Like That,Tom Petty and the Heartbreakers,#N/A,pop,pop
Give Me The Night,George Benson,#N/A,jazz,jazz
Lost In Love,Air Supply,pop,rock,pop
You May Be Right,Billy Joel,#N/A,rock,rock
Fame,Irene Cara,pop,pop,pop
Hurt So Bad,Linda Ronstadt,pop,country,pop
Coming Up,Paul McCartney,#N/A,rock,rock
Funkytown,Lipps Inc,Funk,#N/A,funk
Ladies’ Night,Kool & the Gang,Disco,#N/A,disco
Master Blaster (JAMMIN’),Stevie Wonder,jazz,#N/A,jazz
Stomp!,The Brothers Johnson,#N/A,jazz,jazz
Let My Love Open The Door,Pete Townshend,rock,pop,rock
One Fine Day,Carole King,#N/A,pop,pop
Steal Away,Robbie Dupree,rock,rock,rock
The Long Run,Eagles,#N/A,rock,rock
Cool Change,Little River Band,#N/A,pop,pop
Into The Night,Benny Mardones,Adult contemporary,#N/A,adult contemporary
She’s Out Of My Life,Michael Jackson,#N/A,pop,pop
Drivin’ My Life Away,Eddie Rabbitt,#N/A,country,country
Head Games,Foreigner,#N/A,rock,rock
I Wanna Be Your Lover,Prince,#N/A,rock,rock
Lookin’ For Love,Johnny Lee,#N/A,country,country
Late In The Evening,Paul Simon,#N/A,pop,pop
Little Jeannie,Elton John,rock,rock,rock
Sexy Eyes,Dr. Hook,Disco,#N/A,disco
Too Hot,Kool & the Gang,reggae,#N/A,reggae
"Yes, I’m Ready",Teri DeSario & KC,Soul/R&B,#N/A,soul/r&b
Emotional Rescue,The Rolling Stones,#N/A,rock,rock
He’s So Shy,the Pointer Sisters,#N/A,pop,pop
The Second Time Around,Shalamar,Funk,#N/A,funk
"Working My Way Back To You/Forgive Me, Girl",The Spinners,Disco/Funk,#N/A,disco/funk
Xanadu,Olivia Newton-John / Electric Light Orchestra,pop,#N/A,pop
Look What You’ve Done To Me,Boz Scaggs,#N/A,pop,pop
Jesse,Carly Simon,#N/A,pop,pop
All Over The World,Electric Light Orchestra,#N/A,pop,pop
An American Dream,The Dirt Band,Pop rock,#N/A,pop rock
Tired Of Toein’ The Line,Rocky Burnette,Pop rock,#N/A,pop rock
Better Love Next Time,Dr. Hook,Soft rock,#N/A,soft rock
Hot Rod Hearts,Robbie Dupree,#N/A,rock,rock
No More Tears (ENOUGH Is Enough),Barbra Streisand & Donna Summer,Pop,#N/A,pop
Let Me Love You Tonight,Pure Prairie League,country,country,country
Hold On To My Love,Jimmy Ruffin,Pop Soul,#N/A,pop soul
I’m Alright,Kenny Loggins,#N/A,pop,pop
Let’s Get Serious,Jermaine Jackson,Funk/R&B,#N/A,funk/r&b
Breakdown Dead Ahead,Boz Scaggs,pop,pop,pop
With You I’m Born Again,Billy Preston and Syreeta,Pop,#N/A,pop
Send One Your Love,Stevie Wonder,#N/A,blues,blues
Cupid/I’ve Loved You For A Long Time,The Spinners,Disco,#N/A,disco
Special Lady,"Ray, Goodman & Brown",R&B,#N/A,r&b
